Transaction_ID,Date,itemDescription
3664_2014-02-13,2014-02-13,"['pastry', 'napkins']"
3682_2014-12-24,2014-12-24,"['other vegetables', 'margarine', 'shopping bags', 'processed cheese']"
3804_2014-09-21,2014-09-21,"['domestic eggs', 'canned beer', 'shopping bags']"
3831_2014-01-03,2014-01-03,"['soda', 'bottled water', 'whipped/sour cream']"
3839_2014-06-21,2014-06-21,"['whole milk', 'pip fruit', 'pasta', 'yogurt']"
3840_2014-05-17,2014-05-17,"['soda', 'frozen meals']"
3862_2014-03-14,2014-03-14,"['instant coffee', 'onions', 'processed cheese', 'dental care']"
3863_2014-10-03,2014-10-03,"['soda', 'specialty cheese', 'napkins']"
3903_2014-04-16,2014-04-16,"['butter', 'bottled water']"
3926_2014-02-22,2014-02-22,"['salty snack', 'red/blush wine']"
3957_2014-07-29,2014-07-29,"['chicken', 'bottled water']"
3967_2014-10-10,2014-10-10,"['root vegetables', 'shopping bags']"
4098_2014-02-16,2014-02-16,"['other vegetables', 'yogurt', 'bottled water']"
4153_2014-02-14,2014-02-14,"['sausage', 'whole milk', 'long life bakery product', 'UHT-milk', 'flour', 'chocolate']"
4202_2014-12-07,2014-12-07,"['citrus fruit', 'rolls/buns', 'long life bakery product']"
4213_2014-06-11,2014-06-11,"['coffee', 'rolls/buns']"
4223_2014-03-20,2014-03-20,"['tropical fruit', 'frozen meals']"
4234_2014-01-22,2014-01-22,"['other vegetables', 'fruit/vegetable juice', 'oil', 'detergent']"
4259_2014-11-12,2014-11-12,"['yogurt', 'newspapers']"
4291_2014-07-08,2014-07-08,"['bottled water', 'coffee', 'sugar', 'bottled water']"
4294_2014-12-17,2014-12-17,"['butter milk', 'flour']"
4301_2014-12-24,2014-12-24,"['pip fruit', 'herbs', 'other vegetables']"
4319_2014-09-29,2014-09-29,"['pip fruit', 'butter']"
4334_2014-03-16,2014-03-16,"['bottled water', 'domestic eggs', 'pickled vegetables', 'margarine']"
4434_2014-11-29,2014-11-29,"['tropical fruit', 'chocolate']"
4437_2014-11-13,2014-11-13,"['other vegetables', 'napkins']"
4450_2014-10-31,2014-10-31,"['bottled beer', 'rolls/buns']"
4586_2014-08-16,2014-08-16,"['rolls/buns', 'specialty bar']"
4624_2014-04-22,2014-04-22,"['frozen vegetables', 'yogurt', 'pot plants']"
4629_2014-11-23,2014-11-23,"['sugar', 'pickled vegetables', 'fruit/vegetable juice', 'yogurt']"
4657_2014-09-21,2014-09-21,"['processed cheese', 'rolls/buns', 'oil', 'flour']"
4694_2014-05-12,2014-05-12,"['onions', 'bottled beer', 'yogurt', 'rolls/buns']"
4709_2014-08-08,2014-08-08,"['other vegetables', 'pasta']"
4751_2014-11-29,2014-11-29,"['soft cheese', 'rolls/buns']"
4760_2014-10-16,2014-10-16,"['dessert', 'curd', 'whole milk', 'bottled water']"
4763_2014-02-27,2014-02-27,"['whole milk', 'whole milk', 'pastry', 'pickled vegetables']"
4817_2014-05-14,2014-05-14,"['UHT-milk', 'candles', 'yogurt', 'salty snack']"
4830_2014-12-23,2014-12-23,"['whole milk', 'dish cleaner']"
4904_2014-06-12,2014-06-12,"['packaged fruit/vegetables', 'frozen vegetables']"
4924_2014-01-31,2014-01-31,"['sausage', 'salty snack']"
