Transaction_ID,Date,itemDescription
3957_2014-07-29,2014-07-29,bottled water
2956_2014-07-22,2014-07-22,soda
2956_2014-07-22,2014-07-22,other vegetables
2956_2014-07-22,2014-07-22,frozen vegetables
1020_2014-07-19,2014-07-19,frozen meals
1020_2014-07-19,2014-07-19,butter
1020_2014-07-19,2014-07-19,newspapers
1020_2014-07-19,2014-07-19,yogurt
3577_2014-07-02,2014-07-02,sugar
3577_2014-07-02,2014-07-02,fruit/vegetable juice
4291_2014-07-08,2014-07-08,bottled water
4291_2014-07-08,2014-07-08,coffee
4291_2014-07-08,2014-07-08,sugar
4291_2014-07-08,2014-07-08,bottled water
1294_2014-07-10,2014-07-10,waffles
1294_2014-07-10,2014-07-10,butter milk
1294_2014-07-10,2014-07-10,domestic eggs
1748_2014-08-14,2014-08-14,kitchen utensil
1748_2014-08-14,2014-08-14,bottled water
1748_2014-08-14,2014-08-14,rolls/buns
1748_2014-08-14,2014-08-14,pasta
1748_2014-08-14,2014-08-14,bottled water
1416_2014-08-15,2014-08-15,cream cheese 
1416_2014-08-15,2014-08-15,fruit/vegetable juice
1356_2014-08-17,2014-08-17,napkins
1356_2014-08-17,2014-08-17,butter milk
1356_2014-08-17,2014-08-17,cat food
1356_2014-08-17,2014-08-17,shopping bags
4709_2014-08-08,2014-08-08,other vegetables
4709_2014-08-08,2014-08-08,pasta
1883_2014-08-06,2014-08-06,pork
1883_2014-08-06,2014-08-06,butter
2858_2014-08-24,2014-08-24,grapes
2858_2014-08-24,2014-08-24,packaged fruit/vegetables
2858_2014-08-24,2014-08-24,detergent
3314_2014-08-13,2014-08-13,long life bakery product
3314_2014-08-13,2014-08-13,ice cream
3063_2014-08-02,2014-08-02,frozen vegetables
3063_2014-08-02,2014-08-02,tropical fruit
4586_2014-08-16,2014-08-16,rolls/buns
4586_2014-08-16,2014-08-16,specialty bar
1035_2014-08-15,2014-08-15,pip fruit
1035_2014-08-15,2014-08-15,white wine
1035_2014-08-15,2014-08-15,white bread
1035_2014-08-15,2014-08-15,salt
1547_2014-09-03,2014-09-03,whole milk
1547_2014-09-03,2014-09-03,long life bakery product
1289_2014-09-08,2014-09-08,root vegetables
1289_2014-09-08,2014-09-08,spread cheese
2402_2014-09-29,2014-09-29,cream cheese 
2402_2014-09-29,2014-09-29,chocolate marshmallow
2402_2014-09-29,2014-09-29,spread cheese
2402_2014-09-29,2014-09-29,pastry
4657_2014-09-21,2014-09-21,processed cheese
4657_2014-09-21,2014-09-21,rolls/buns
4657_2014-09-21,2014-09-21,oil
4657_2014-09-21,2014-09-21,flour
2424_2014-09-28,2014-09-28,butter milk
2424_2014-09-28,2014-09-28,pickled vegetables
2097_2014-09-28,2014-09-28,rolls/buns
2097_2014-09-28,2014-09-28,processed cheese
2929_2014-09-24,2014-09-24,yogurt
2929_2014-09-24,2014-09-24,bathroom cleaner
3804_2014-09-21,2014-09-21,domestic eggs
3804_2014-09-21,2014-09-21,canned beer
3804_2014-09-21,2014-09-21,shopping bags
4319_2014-09-29,2014-09-29,pip fruit
4319_2014-09-29,2014-09-29,butter
1975_2014-09-01,2014-09-01,rolls/buns
1975_2014-09-01,2014-09-01,soups
2873_2014-10-23,2014-10-23,whole milk
2873_2014-10-23,2014-10-23,detergent
2873_2014-10-23,2014-10-23,soda
3967_2014-10-10,2014-10-10,root vegetables
3967_2014-10-10,2014-10-10,shopping bags
2005_2014-10-18,2014-10-18,mustard
2005_2014-10-18,2014-10-18,yogurt
2005_2014-10-18,2014-10-18,cat food
2005_2014-10-18,2014-10-18,bottled beer
3863_2014-10-03,2014-10-03,soda
3863_2014-10-03,2014-10-03,specialty cheese
3863_2014-10-03,2014-10-03,napkins
1833_2014-10-20,2014-10-20,other vegetables
1833_2014-10-20,2014-10-20,margarine
3613_2014-10-20,2014-10-20,tropical fruit
3613_2014-10-20,2014-10-20,bottled water
3613_2014-10-20,2014-10-20,pastry
3613_2014-10-20,2014-10-20,flour
2907_2014-10-15,2014-10-15,sausage
2907_2014-10-15,2014-10-15,processed cheese
2492_2014-10-03,2014-10-03,instant coffee
2492_2014-10-03,2014-10-03,candles
4760_2014-10-16,2014-10-16,dessert
4760_2014-10-16,2014-10-16,curd
4760_2014-10-16,2014-10-16,whole milk
4760_2014-10-16,2014-10-16,bottled water
4450_2014-10-31,2014-10-31,bottled beer
4450_2014-10-31,2014-10-31,rolls/buns
4434_2014-11-29,2014-11-29,tropical fruit
4434_2014-11-29,2014-11-29,chocolate
4751_2014-11-29,2014-11-29,soft cheese
4751_2014-11-29,2014-11-29,rolls/buns
2110_2014-11-22,2014-11-22,whole milk
2110_2014-11-22,2014-11-22,newspapers
4437_2014-11-13,2014-11-13,other vegetables
4437_2014-11-13,2014-11-13,napkins
4629_2014-11-23,2014-11-23,sugar
4629_2014-11-23,2014-11-23,pickled vegetables
4629_2014-11-23,2014-11-23,fruit/vegetable juice
4629_2014-11-23,2014-11-23,yogurt
3470_2014-11-22,2014-11-22,flower (seeds)
3470_2014-11-22,2014-11-22,shopping bags
2860_2014-11-01,2014-11-01,tropical fruit
2860_2014-11-01,2014-11-01,yogurt
2860_2014-11-01,2014-11-01,bottled water
4259_2014-11-12,2014-11-12,yogurt
4259_2014-11-12,2014-11-12,newspapers
3304_2014-11-15,2014-11-15,bottled beer
3304_2014-11-15,2014-11-15,white bread
1434_2014-11-13,2014-11-13,domestic eggs
1434_2014-11-13,2014-11-13,margarine
1434_2014-11-13,2014-11-13,canned beer
1434_2014-11-13,2014-11-13,candles
1430_2014-12-01,2014-12-01,soda
1430_2014-12-01,2014-12-01,canned beer
1430_2014-12-01,2014-12-01,soft cheese
1430_2014-12-01,2014-12-01,waffles
3107_2014-12-12,2014-12-12,citrus fruit
3107_2014-12-12,2014-12-12,waffles
4294_2014-12-17,2014-12-17,butter milk
4294_2014-12-17,2014-12-17,flour
3682_2014-12-24,2014-12-24,other vegetables
3682_2014-12-24,2014-12-24,margarine
3682_2014-12-24,2014-12-24,shopping bags
3682_2014-12-24,2014-12-24,processed cheese
2696_2014-12-23,2014-12-23,whole milk
2696_2014-12-23,2014-12-23,seasonal products
1419_2014-12-03,2014-12-03,butter
1419_2014-12-03,2014-12-03,chewing gum
1419_2014-12-03,2014-12-03,coffee
1419_2014-12-03,2014-12-03,salty snack
4301_2014-12-24,2014-12-24,pip fruit
4301_2014-12-24,2014-12-24,herbs
4301_2014-12-24,2014-12-24,other vegetables
2298_2014-12-04,2014-12-04,domestic eggs
2298_2014-12-04,2014-12-04,roll products 
2298_2014-12-04,2014-12-04,oil
4830_2014-12-23,2014-12-23,whole milk
4830_2014-12-23,2014-12-23,dish cleaner
4202_2014-12-07,2014-12-07,citrus fruit
4202_2014-12-07,2014-12-07,rolls/buns
4202_2014-12-07,2014-12-07,long life bakery product
